delta_reward
0.32126404
0.72794500
0.76960877
0.42598712
0.50655934
0.49979287
0.23060411
0.24186432
0.29203188
0.67647611
0.22426212
0.37578291
0.63644685
0.50832075
0.78605274
0.11974114
0.47115940
0.39073788
0.30612412
0.40840089
0.52069522
0.53738944
0.77981116
0.58761615
0.53394374
0.48175488
0.53030858
0.48893410
0.40793350
0.33265715
0.55454022
0.58155378
0.62132907
0.56688966
0.47642728
0.38674071
0.40139418
0.70959896
0.27870867
0.52311135
0.31766404
0.37224200
0.53626259
0.52790654
0.57468498
0.51957638
0.38857958
0.41621438
0.63984472
0.54393411
0.76101634
0.35443210
0.40154999
0.77764067
0.80631585
0.71770313
0.66170423
0.40595874
0.38026413
0.66331637
0.21875435
0.66113161
0.40157587
0.41891930
0.34139383
0.33582348
0.67630732
0.33863609
0.36275304
0.45016411
0.58166382
0.50464405
0.64381680
0.41271934
0.41398138
0.62604050
0.47669154
0.58661367
0.78753629
0.58420527
0.34129184
0.17995042
0.59189665
0.36099613
0.45400155
0.36116910
0.61189730
0.26936339
0.41679397
0.41637421
0.53808098
0.55970857
0.28933046
0.34167871
0.63178891
0.39184120
0.31413168
0.46409538
0.66967681
0.38186830
0.29530208
0.32175427
0.27579337
0.39473361
0.78021434
0.08999199
0.38138419
0.52921373
0.28196776
0.53035039
0.77435599
0.46086779
0.33173397
0.75937754
0.60426018
0.16851175
0.37082854
0.62718236
0.68388947
0.58595780
0.32794011
0.37589889
0.20906347
0.78466421
0.55167419
0.40750108
0.54473767
0.36256069
0.28225290
0.62488111
0.25525045
0.64696234
0.58649828
0.34442654
0.58632606
0.44763112
0.48774815
0.51393816
0.35387698
0.59516420
0.40792316
0.28448458
0.41100791
0.58471861
0.42811795
0.65279397
0.38307570
0.63333945
0.67594904
0.50646248
0.43687075
0.49691120
0.32239419
0.35750203
0.78741216
0.35700723
0.42172301
0.75981459
0.68646358
0.74518196
0.42912702
0.47088099
0.63373790
0.43623903
0.35710032
0.13256419
0.72838434
0.73254519
0.27271330
0.27909851
0.42572385
0.28807735
0.47410196
0.71283321
0.49058789
0.48465589
0.15252590
0.41781725
0.47041085
0.42964762
0.28271163
0.67675944
0.32606019
0.26733225
0.82043607
0.65188617
0.29932922
0.51067425
0.67680914
0.70377362
0.29924136
0.42729151
0.23889202
0.35870652
0.59663319
0.40766194
0.38085431
0.65258273
0.44984078
0.67850002
0.53427419
0.75733739
0.60853229
0.34330449
0.46067560
0.47461569
0.36877280
0.36260086
0.52930853
0.39844468
0.43621206
0.40030727
0.83054045
0.17673123
0.77195927
0.24978924
0.57221918
0.69335892
0.34167871
0.44326767
0.60456644
0.67680914
0.34329809
0.72128333
0.39341240
0.53148600
0.51414602
0.48665389
0.22911316
0.44075192
0.40165520
0.69401774
0.39009655
0.23019233
0.38305432
0.43827076
0.50772519
0.51073465
0.35739923
0.32995268
0.76089805
0.33604482
0.33523452
0.38113422
0.74807372
0.22921461
0.51630272
0.53195058
0.69520031
0.22631443
0.61308236
0.52186364
0.72007011
0.32947793
0.66076864
0.72782642
0.37647843
0.60673544
0.55628072
0.75733739
0.59849152
0.42981318
0.18633445
0.35400325
0.59964936
0.49790066
0.48193154
0.47796991
0.49561644
0.23849583
0.77160723
0.38434863
0.63512263
0.24512869
0.73827015
0.44458699
0.56016208
0.46896267
0.51640872
0.68853226
0.37198225
0.68621084
0.53506219
0.62067735
0.39468592
0.37824410
0.12966957
0.48774815
0.67017409
0.54845406
0.36523524
0.26936339
0.32048167
0.51515784
0.58074978
0.60006070
0.54460834
0.40672351
0.53040630
0.39003843
0.51433587
0.57356484
0.53121412
0.17673123
0.38777643
0.39773370
0.61743736
0.27196145
0.32859650
0.71040801
0.56038620
0.73028151
0.47393918
0.33073473
0.63585982
0.38699831
0.44442198
0.28161043
0.80413657
0.09649277
0.46349589
0.50435865
0.43312345
0.30246950
0.66416928
0.45117861
0.69906472
0.24775296
0.71193158
0.37993827
0.45387140
0.38510787
0.64649901
0.33401878
0.82548178
0.63512263
0.21430629
0.25719544
0.41425607
0.41933498
0.51090658
0.25849962
0.34835687
0.28456902
0.32718974
0.52221164
0.49092773
0.43306901
0.72346050
0.39407623
0.51714540
0.62804447
0.55335724
0.48647836
0.45400072
0.60957380
0.26863302
0.54907832
0.48245218
0.51061315
0.30771518
0.31601824
0.52432528
0.49265517
0.45425749
0.53614902
0.43264696
0.50988153
0.51800415
0.48458341
0.63230119
0.52757654
0.79222001
0.41338590
0.62210590
0.56268915
0.80044265
0.18660098
0.37102395
0.43319677
0.68159625
0.32466120
0.62720867
0.65892851
0.53299662
0.43319677
0.26516914
0.33734307
0.63430556
0.75614778
0.27789002
0.55183220
0.58256912
0.74484308
0.51271319
0.53842118
0.52272381
0.19282687
0.50999671
0.36877280
0.45286405
0.52458317
0.44287270
0.57812876
0.33413231
0.71071158
0.65994441
0.46166125
0.44356662
0.51393816
0.72021756
0.52186364
0.62349465
0.61695920
0.52180230
0.45438570
0.78567618
0.59464080
0.32728305
0.63887492
0.67086145
0.75896759
0.54689905
0.61695920
0.46701671
0.47248238
0.28939827
0.23312343
0.56686924
0.51609641
0.55104933
0.45839023
0.48340029
0.33379757
0.48991340
0.48479405
0.06074172
0.46824531
0.67883309
0.52212423
0.70170963
0.56381708
0.41427776
0.51244549
0.40173193
0.63859253
0.62826171
0.49313824
0.57370946
0.35875696
0.54240832
0.56281535
0.29375026
0.69416231
0.23298848
0.51830739
0.67017409
0.60243237
0.25020146
0.57648179
0.57261048
