total_loss,nll_loss,entropy_penalty
2.546203851699829102e+00,2.431937217712402344e+00,1.142665669322013855e-01
2.435558319091796875e+00,2.322620153427124023e+00,1.129381284117698669e-01
2.388294935226440430e+00,2.277023792266845703e+00,1.112710386514663696e-01
2.282512187957763672e+00,2.172725439071655273e+00,1.097867488861083984e-01
2.228885173797607422e+00,2.121081113815307617e+00,1.078040674328804016e-01
2.124441623687744141e+00,2.018760681152343750e+00,1.056808531284332275e-01
2.029822587966918945e+00,1.926496386528015137e+00,1.033260971307754517e-01
1.892041683197021484e+00,1.791205525398254395e+00,1.008361577987670898e-01
1.723305344581604004e+00,1.625217795372009277e+00,9.808751940727233887e-02
1.523056387901306152e+00,1.427848815917968750e+00,9.520759433507919312e-02
1.300563097000122070e+00,1.208247184753417969e+00,9.231587499380111694e-02
1.078888416290283203e+00,9.894366860389709473e-01,8.945167064666748047e-02
8.761924505233764648e-01,7.895283699035644531e-01,8.666407316923141479e-02
6.855080723762512207e-01,6.014331579208374023e-01,8.407489955425262451e-02
5.019396543502807617e-01,4.203046858310699463e-01,8.163498342037200928e-02
3.388167023658752441e-01,2.594854831695556641e-01,7.933120429515838623e-02
2.229963243007659912e-01,1.458370685577392578e-01,7.715924829244613647e-02
1.632658839225769043e-01,8.813029527664184570e-02,7.513558119535446167e-02
1.313548386096954346e-01,5.801653116941452026e-02,7.333830744028091431e-02
1.109029129147529602e-01,3.913328796625137329e-02,7.176962494850158691e-02
9.635218232870101929e-02,2.592824399471282959e-02,7.042393833398818970e-02
8.602905273437500000e-02,1.680530235171318054e-02,6.922375410795211792e-02
7.954137772321701050e-02,1.145298685878515244e-02,6.808838993310928345e-02
7.569704949855804443e-02,8.716125041246414185e-03,6.698092073202133179e-02
7.287158817052841187e-02,6.969693582504987717e-03,6.590189784765243530e-02
7.023706287145614624e-02,5.385405849665403366e-03,6.485165655612945557e-02
6.795944273471832275e-02,4.168014973402023315e-03,6.379142403602600098e-02
6.611473113298416138e-02,3.442798042669892311e-03,6.267192959785461426e-02
6.448651850223541260e-02,3.018667688593268394e-03,6.146785244345664978e-02
6.289142370223999023e-02,2.714436501264572144e-03,6.017699092626571655e-02
6.132734566926956177e-02,2.509133890271186829e-03,5.881821364164352417e-02
5.990004166960716248e-02,2.423159312456846237e-03,5.747688189148902893e-02
5.856974795460700989e-02,2.296031219884753227e-03,5.627371743321418762e-02
5.700813978910446167e-02,1.908105798065662384e-03,5.510003492236137390e-02
5.543670430779457092e-02,1.869066618382930756e-03,5.356763675808906555e-02
5.448225885629653931e-02,3.018653485924005508e-03,5.146360397338867188e-02
5.315686017274856567e-02,1.752400072291493416e-03,5.140446126461029053e-02
5.210239812731742859e-02,1.616240944713354111e-03,5.048615857958793640e-02
5.081978440284729004e-02,1.960237277671694756e-03,4.885954782366752625e-02
5.036063492298126221e-02,3.314007772132754326e-03,4.704662784934043884e-02
4.877988994121551514e-02,1.637478009797632694e-03,4.714241251349449158e-02
4.859902709722518921e-02,2.241320209577679634e-03,4.635770618915557861e-02
4.738063737750053406e-02,2.290758071467280388e-03,4.508987814188003540e-02
4.660251736640930176e-02,2.366008469834923744e-03,4.423650726675987244e-02
4.587451741099357605e-02,1.817772397771477699e-03,4.405674338340759277e-02
4.519889503717422485e-02,1.388017437420785427e-03,4.381087794899940491e-02
4.423499107360839844e-02,1.036610687151551247e-03,4.319838061928749084e-02
4.344623908400535583e-02,1.336427638307213783e-03,4.210980981588363647e-02
4.309345036745071411e-02,2.110268687829375267e-03,4.098318144679069519e-02
4.202104359865188599e-02,1.273636706173419952e-03,4.074740782380104065e-02
4.098265245556831360e-02,1.124576665461063385e-03,3.985807672142982483e-02
4.048068448901176453e-02,1.793414237909018993e-03,3.868727013468742371e-02
3.978620842099189758e-02,1.205824199132621288e-03,3.858038410544395447e-02
3.918762132525444031e-02,1.138658612035214901e-03,3.804896399378776550e-02
3.915101662278175354e-02,2.216519089415669441e-03,3.693449869751930237e-02
3.821330517530441284e-02,1.710128388367593288e-03,3.650317713618278503e-02
3.838377073407173157e-02,2.419218420982360840e-03,3.596455231308937073e-02
3.781885653734207153e-02,2.235661726444959641e-03,3.558319434523582458e-02
3.782184422016143799e-02,1.443684450350701809e-03,3.637816011905670166e-02
3.762485831975936890e-02,1.040525152347981930e-03,3.658433258533477783e-02
3.695381060242652893e-02,7.495232857763767242e-04,3.620428591966629028e-02
3.680884093046188354e-02,1.418382278643548489e-03,3.539045900106430054e-02
3.650845959782600403e-02,1.579776988364756107e-03,3.492868319153785706e-02
3.612171858549118042e-02,1.153566176071763039e-03,3.496815264225006104e-02
3.578133881092071533e-02,1.006576232612133026e-03,3.477476164698600769e-02
3.537415713071823120e-02,1.050952472724020481e-03,3.432320430874824524e-02
3.542627394199371338e-02,1.559274154715240002e-03,3.386700153350830078e-02
3.491847962141036987e-02,9.735040948726236820e-04,3.394497558474540710e-02
3.473496064543724060e-02,9.792881319299340248e-04,3.375567123293876648e-02
3.477870672941207886e-02,1.467651221901178360e-03,3.331105411052703857e-02
3.444721177220344543e-02,1.159441773779690266e-03,3.328777104616165161e-02
3.436166420578956604e-02,1.211436232551932335e-03,3.315022960305213928e-02
3.420972079038619995e-02,1.274458249099552631e-03,3.293526172637939453e-02
3.404667973518371582e-02,1.315276254899799824e-03,3.273140266537666321e-02
3.391249850392341614e-02,1.347129698842763901e-03,3.256537020206451416e-02
3.369190543889999390e-02,1.292148604989051819e-03,3.239975869655609131e-02
3.361283987760543823e-02,1.399213215336203575e-03,3.221362829208374023e-02
3.352995216846466064e-02,1.335694454610347748e-03,3.219425678253173828e-02
3.343202918767929077e-02,1.146878465078771114e-03,3.228515014052391052e-02
3.334707021713256836e-02,1.138627529144287109e-03,3.220844268798828125e-02
3.321077674627304077e-02,1.268872874788939953e-03,3.194190561771392822e-02
3.316713869571685791e-02,1.469929935410618782e-03,3.169720992445945740e-02
3.310184925794601440e-02,1.424391055479645729e-03,3.167745843529701233e-02
3.298410400748252869e-02,1.365486881695687771e-03,3.161861747503280640e-02
3.288850933313369751e-02,1.368246972560882568e-03,3.152026236057281494e-02
3.279932215809822083e-02,1.268647611141204834e-03,3.153067454695701599e-02
3.274570405483245850e-02,1.195094548165798187e-03,3.155060857534408569e-02
3.266970440745353699e-02,1.185705536045134068e-03,3.148400038480758667e-02
3.264410793781280518e-02,1.267150044441223145e-03,3.137695789337158203e-02
3.256288543343544006e-02,1.224397798068821430e-03,3.133848682045936584e-02
3.251112252473831177e-02,1.236052252352237701e-03,3.127507120370864868e-02
3.251064568758010864e-02,1.291925902478396893e-03,3.121871873736381531e-02
3.247410804033279419e-02,1.249366090632975101e-03,3.122474066913127899e-02
3.243760019540786743e-02,1.244667218998074532e-03,3.119293414056301117e-02
3.238468617200851440e-02,1.304364181123673916e-03,3.108032234013080597e-02
3.240112960338592529e-02,1.414245460182428360e-03,3.098688460886478424e-02
3.235691785812377930e-02,1.345666009001433849e-03,3.101125359535217285e-02
3.231608495116233826e-02,1.298469491302967072e-03,3.101761452853679657e-02
3.229897841811180115e-02,1.351734274066984653e-03,3.094724379479885101e-02
3.227409720420837402e-02,1.372535363771021366e-03,3.090156242251396179e-02
3.226540237665176392e-02,1.351685845293104649e-03,3.091371618211269379e-02
3.223272785544395447e-02,1.333926338702440262e-03,3.089880198240280151e-02
3.221946209669113159e-02,1.370838144794106483e-03,3.084862232208251953e-02
3.221197798848152161e-02,1.368530094623565674e-03,3.084344789385795593e-02
3.219079971313476562e-02,1.336758839897811413e-03,3.085404075682163239e-02
3.217011317610740662e-02,1.346069271676242352e-03,3.082404285669326782e-02
3.215380012989044189e-02,1.337243127636611462e-03,3.081655688583850861e-02
3.214169666171073914e-02,1.298786839470267296e-03,3.084290958940982819e-02
3.213531896471977234e-02,1.306301215663552284e-03,3.082901798188686371e-02
3.212638571858406067e-02,1.338408561423420906e-03,3.078797832131385803e-02
3.211101144552230835e-02,1.323472941294312477e-03,3.078753687441349030e-02
3.210283815860748291e-02,1.314104767516255379e-03,3.078873269259929657e-02
3.209150955080986023e-02,1.342123257927596569e-03,3.074938617646694183e-02
3.208727017045021057e-02,1.371742808260023594e-03,3.071552887558937073e-02
3.207799792289733887e-02,1.361383125185966492e-03,3.071661479771137238e-02
3.206538408994674683e-02,1.347606652416288853e-03,3.071777708828449249e-02
3.205874189734458923e-02,1.334223081357777119e-03,3.072451800107955933e-02
3.205086663365364075e-02,1.309094019234180450e-03,3.074177168309688568e-02
3.204502537846565247e-02,1.317225745879113674e-03,3.072779998183250427e-02
3.203635290265083313e-02,1.342785544693470001e-03,3.069356642663478851e-02
3.202880918979644775e-02,1.340444665402173996e-03,3.068836405873298645e-02
3.202328830957412720e-02,1.333986641839146614e-03,3.068930096924304962e-02
3.201518207788467407e-02,1.356007065623998642e-03,3.065917640924453735e-02
3.200970962643623352e-02,1.373026170767843723e-03,3.063668496906757355e-02
3.200317174196243286e-02,1.352025195956230164e-03,3.065114840865135193e-02
3.199853003025054932e-02,1.344929914921522141e-03,3.065360151231288910e-02
3.199465945363044739e-02,1.357589499093592167e-03,3.063706867396831512e-02
3.198794275522232056e-02,1.355091575533151627e-03,3.063284978270530701e-02
3.198239207267761230e-02,1.358002307824790478e-03,3.062439151108264923e-02
3.197710216045379639e-02,1.375246793031692505e-03,3.060185536742210388e-02
3.197248280048370361e-02,1.375098014250397682e-03,3.059738315641880035e-02
3.196730837225914001e-02,1.361926551908254623e-03,3.060538135468959808e-02
3.196211904287338257e-02,1.362110022455453873e-03,3.060000762343406677e-02
3.195680305361747742e-02,1.356923487037420273e-03,3.059987910091876984e-02
3.195256367325782776e-02,1.346759148873388767e-03,3.060580417513847351e-02
3.194760158658027649e-02,1.355497399345040321e-03,3.059210255742073059e-02
3.194254636764526367e-02,1.370341051369905472e-03,3.057220391929149628e-02
3.193758428096771240e-02,1.369978999719023705e-03,3.056760504841804504e-02
3.193221613764762878e-02,1.366498996503651142e-03,3.056571818888187408e-02
3.192700073122978210e-02,1.359172747470438480e-03,3.056782856583595276e-02
3.192107751965522766e-02,1.345497206784784794e-03,3.057557903230190277e-02
3.191442415118217468e-02,1.342186937108635902e-03,3.057223558425903320e-02
3.190685063600540161e-02,1.337382826022803783e-03,3.056946955621242523e-02
3.189704939723014832e-02,1.322189811617136002e-03,3.057485818862915039e-02
3.188269212841987610e-02,1.313767279498279095e-03,3.056892566382884979e-02
3.186087310314178467e-02,1.297185663133859634e-03,3.056368790566921234e-02
3.182449564337730408e-02,1.250128145329654217e-03,3.057436831295490265e-02
3.177580237388610840e-02,1.199583406560122967e-03,3.057621978223323822e-02
3.177137300372123718e-02,1.233380869962275028e-03,3.053799271583557129e-02
3.180040046572685242e-02,1.442118664272129536e-03,3.035828098654747009e-02
