total_loss,nll_loss,entropy_penalty
2.443363904953002930e+00,2.431937217712402344e+00,1.142665743827819824e-02
2.492088079452514648e+00,2.322434425354003906e+00,1.696536689996719360e-01
2.907917499542236328e+00,2.277273654937744141e+00,6.306439638137817383e-01
3.538890361785888672e+00,2.172154903411865234e+00,1.366735339164733887e+00
4.450446128845214844e+00,2.127175092697143555e+00,2.323271036148071289e+00
5.481346130371093750e+00,2.036299228668212891e+00,3.445046901702880859e+00
6.622753143310546875e+00,1.961598396301269531e+00,4.661154747009277344e+00
7.803410530090332031e+00,1.891994833946228027e+00,5.911415576934814453e+00
8.963362693786621094e+00,1.815042376518249512e+00,7.148320674896240234e+00
1.008172988891601562e+01,1.742297649383544922e+00,8.339432716369628906e+00
1.113218975067138672e+01,1.670569539070129395e+00,9.461620330810546875e+00
1.208654117584228516e+01,1.597425818443298340e+00,1.048911571502685547e+01
1.291716670989990234e+01,1.524663209915161133e+00,1.139250373840332031e+01
1.359720039367675781e+01,1.453688144683837891e+00,1.214351272583007812e+01
1.410751152038574219e+01,1.385053396224975586e+00,1.272245788574218750e+01
1.443451118469238281e+01,1.317791461944580078e+00,1.311671924591064453e+01
1.456941413879394531e+01,1.251236557960510254e+00,1.331817722320556641e+01
1.451105117797851562e+01,1.187469124794006348e+00,1.332358169555664062e+01
1.426248550415039062e+01,1.125351786613464355e+00,1.313713359832763672e+01
1.383365058898925781e+01,1.059468507766723633e+00,1.277418231964111328e+01
1.324158477783203125e+01,9.886712431907653809e-01,1.225291347503662109e+01
1.250877761840820312e+01,9.102943539619445801e-01,1.159848308563232422e+01
1.165332412719726562e+01,8.161282539367675781e-01,1.083719635009765625e+01
1.069083404541015625e+01,7.050910592079162598e-01,9.985742568969726562e+00
9.651747703552246094e+00,5.912139415740966797e-01,9.060533523559570312e+00
8.567691802978515625e+00,4.869459867477416992e-01,8.080745697021484375e+00
7.462709426879882812e+00,3.973994851112365723e-01,7.065310001373291016e+00
6.366261005401611328e+00,3.234931528568267822e-01,6.042768001556396484e+00
5.305817127227783203e+00,2.632637917995452881e-01,5.042553424835205078e+00
4.310467243194580078e+00,2.231476902961730957e-01,4.087319374084472656e+00
3.411695241928100586e+00,2.068024277687072754e-01,3.204892873764038086e+00
2.610288143157958984e+00,1.917877644300460815e-01,2.418500423431396484e+00
1.899006366729736328e+00,1.604650616645812988e-01,1.738541245460510254e+00
1.300593852996826172e+00,1.311496198177337646e-01,1.169444203376770020e+00
8.219543695449829102e-01,1.101990863680839539e-01,7.117552757263183594e-01
4.619408249855041504e-01,9.653757512569427490e-02,3.654032349586486816e-01
2.174305021762847900e-01,8.343433588743209839e-02,1.339961737394332886e-01
9.691967070102691650e-02,7.844004780054092407e-02,1.847961917519569397e-02
8.975478261709213257e-02,7.145329564809799194e-02,1.830148696899414062e-02
