total_loss,nll_loss,entropy_penalty
3.850586891174316406e+00,2.679634809494018555e+00,1.170952081680297852e+00
3.658506870269775391e+00,2.494987487792968750e+00,1.163519263267517090e+00
3.506795406341552734e+00,2.356203794479370117e+00,1.150591731071472168e+00
3.372707128524780273e+00,2.237609863281250000e+00,1.135097265243530273e+00
3.232607841491699219e+00,2.114725589752197266e+00,1.117882370948791504e+00
3.075048446655273438e+00,1.975621342658996582e+00,1.099427103996276855e+00
2.897549152374267578e+00,1.817128062248229980e+00,1.080421090126037598e+00
2.701053619384765625e+00,1.639625072479248047e+00,1.061428427696228027e+00
2.474272489547729492e+00,1.431816458702087402e+00,1.042456030845642090e+00
2.222345113754272461e+00,1.199126243591308594e+00,1.023218870162963867e+00
1.943997263908386230e+00,9.399857521057128906e-01,1.004011511802673340e+00
1.631432533264160156e+00,6.463244557380676270e-01,9.851081371307373047e-01
1.321768879890441895e+00,3.553966581821441650e-01,9.663721919059753418e-01
1.104042053222656250e+00,1.565817147493362427e-01,9.474602937698364258e-01
9.986889958381652832e-01,7.024799287319183350e-02,9.284409880638122559e-01
9.443408250808715820e-01,3.456678986549377441e-02,9.097740054130554199e-01
9.109588861465454102e-01,1.928271912038326263e-02,8.916761875152587891e-01
8.855547308921813965e-01,1.132126431912183762e-02,8.742334842681884766e-01
8.640868663787841797e-01,6.820503622293472290e-03,8.572663664817810059e-01
8.448462486267089844e-01,4.366817418485879898e-03,8.404794335365295410e-01
8.265815377235412598e-01,3.014145651832222939e-03,8.235673904418945312e-01
8.084758520126342773e-01,2.227089600637555122e-03,8.062487840652465820e-01
7.900286912918090820e-01,1.746610156260430813e-03,7.882820963859558105e-01
7.709342241287231445e-01,1.455595600418746471e-03,7.694786190986633301e-01
7.510186433792114258e-01,1.304327393881976604e-03,7.497143149375915527e-01
7.302234768867492676e-01,1.281963079236447811e-03,7.289415001869201660e-01
7.086055874824523926e-01,1.415354781784117222e-03,7.071902155876159668e-01
6.863565444946289062e-01,1.795094925910234451e-03,6.845614314079284668e-01
6.638680100440979004e-01,2.655408810824155807e-03,6.612126231193542480e-01
6.416293382644653320e-01,4.141570534557104111e-03,6.374877691268920898e-01
6.194327473640441895e-01,5.263221915811300278e-03,6.141695380210876465e-01
5.972619056701660156e-01,5.821579601615667343e-03,5.914403200149536133e-01
5.745088458061218262e-01,5.129445809870958328e-03,5.693793892860412598e-01
5.523762702941894531e-01,4.940043669193983078e-03,5.474362373352050781e-01
5.300848484039306641e-01,4.009637981653213501e-03,5.260751843452453613e-01
5.090413093566894531e-01,4.445279482752084732e-03,5.045960545539855957e-01
4.880495071411132812e-01,4.113430622965097427e-03,4.839360713958740234e-01
4.680401980876922607e-01,4.644204396754503250e-03,4.633959829807281494e-01
4.485013782978057861e-01,4.553546663373708725e-03,4.439478218555450439e-01
4.293569922447204590e-01,3.677654778584837914e-03,4.256793260574340820e-01
4.107739627361297607e-01,4.087115172296762466e-03,4.066868424415588379e-01
3.950685560703277588e-01,6.115925032645463943e-03,3.889526426792144775e-01
3.790936172008514404e-01,6.825166288763284683e-03,3.722684383392333984e-01
3.611478209495544434e-01,3.161303233355283737e-03,3.579865097999572754e-01
3.497260808944702148e-01,7.891123183071613312e-03,3.418349623680114746e-01
3.369790613651275635e-01,8.723534643650054932e-03,3.282555341720581055e-01
3.253994882106781006e-01,9.740922600030899048e-03,3.156585693359375000e-01
3.062483370304107666e-01,2.801228314638137817e-03,3.034470975399017334e-01
2.923060357570648193e-01,2.798650180920958519e-03,2.895073890686035156e-01
2.826007604598999023e-01,8.271202445030212402e-03,2.743295729160308838e-01
2.652466595172882080e-01,2.925827633589506149e-03,2.623208463191986084e-01
2.528195381164550781e-01,4.843032918870449066e-03,2.479765117168426514e-01
2.348986566066741943e-01,2.461411058902740479e-03,2.324372380971908569e-01
2.281694859266281128e-01,1.279780734330415726e-02,2.153716832399368286e-01
2.112799882888793945e-01,9.301722049713134766e-03,2.019782662391662598e-01
1.964700520038604736e-01,9.248907677829265594e-03,1.872211396694183350e-01
1.800916045904159546e-01,6.216777954250574112e-03,1.738748252391815186e-01
1.658583730459213257e-01,5.223961081355810165e-03,1.606344133615493774e-01
1.542258262634277344e-01,7.103167008608579636e-03,1.471226662397384644e-01
1.411187946796417236e-01,6.572165526449680328e-03,1.345466226339340210e-01
1.306550651788711548e-01,7.385289762169122696e-03,1.232697814702987671e-01
1.186814457178115845e-01,4.585272166877985001e-03,1.140961721539497375e-01
1.097567901015281677e-01,3.323256736621260643e-03,1.064335331320762634e-01
1.037686243653297424e-01,4.325633402913808823e-03,9.944298863410949707e-02
9.666054695844650269e-02,3.374565625563263893e-03,9.328597784042358398e-02
9.259577840566635132e-02,4.377416800707578659e-03,8.821836113929748535e-02
8.898530155420303345e-02,3.783413674682378769e-03,8.520188927650451660e-02
8.645794540643692017e-02,3.388718934729695320e-03,8.306922763586044312e-02
8.458466082811355591e-02,3.073431551456451416e-03,8.151122927665710449e-02
8.373481780290603638e-02,3.541153855621814728e-03,8.019366115331649780e-02
8.308313786983489990e-02,4.130663815885782242e-03,7.895247638225555420e-02
8.134930580854415894e-02,3.597287461161613464e-03,7.775201648473739624e-02
7.995575666427612305e-02,3.392187645658850670e-03,7.656356692314147949e-02
7.858455181121826172e-02,2.767013385891914368e-03,7.581754028797149658e-02
7.789120823144912720e-02,2.947172382846474648e-03,7.494403421878814697e-02
7.667960226535797119e-02,2.820333233103156090e-03,7.385926693677902222e-02
7.571298629045486450e-02,3.179674036800861359e-03,7.253330945968627930e-02
7.524073868989944458e-02,4.114982672035694122e-03,7.112575322389602661e-02
7.415565103292465210e-02,3.981844987720251083e-03,7.017380744218826294e-02
7.299534976482391357e-02,3.778013633564114571e-03,6.921733915805816650e-02
7.218736410140991211e-02,4.117346368730068207e-03,6.807001680135726929e-02
7.092909514904022217e-02,3.868762869387865067e-03,6.706032902002334595e-02
7.004255056381225586e-02,3.947538323700428009e-03,6.609500944614410400e-02
6.949032843112945557e-02,3.952930215746164322e-03,6.553740054368972778e-02
6.890700757503509521e-02,3.737373277544975281e-03,6.516963243484497070e-02
6.786880642175674438e-02,3.004701109603047371e-03,6.486410647630691528e-02
6.725142896175384521e-02,3.031310625374317169e-03,6.422011554241180420e-02
6.716033071279525757e-02,3.657789900898933411e-03,6.350254267454147339e-02
6.644213199615478516e-02,3.193702315911650658e-03,6.324843317270278931e-02
6.571913510560989380e-02,3.039185889065265656e-03,6.267994642257690430e-02
6.519789248704910278e-02,3.438313491642475128e-03,6.175957992672920227e-02
6.472131609916687012e-02,3.472922137007117271e-03,6.124839186668395996e-02
6.427988409996032715e-02,3.215332049876451492e-03,6.106454879045486450e-02
6.395454704761505127e-02,3.261909121647477150e-03,6.069263815879821777e-02
6.376385688781738281e-02,3.294458845630288124e-03,6.046940013766288757e-02
6.342362612485885620e-02,2.913988661020994186e-03,6.050964072346687317e-02
6.320916116237640381e-02,2.931372495368123055e-03,6.027778983116149902e-02
6.291870027780532837e-02,3.027613740414381027e-03,5.989108979701995850e-02
6.266555190086364746e-02,3.061257302761077881e-03,5.960429832339286804e-02
6.252105534076690674e-02,2.988190157338976860e-03,5.953286215662956238e-02
6.228535622358322144e-02,2.898007398471236229e-03,5.938734859228134155e-02
6.214452907443046570e-02,3.076528199017047882e-03,5.906800180673599243e-02
6.196360662579536438e-02,3.017144510522484779e-03,5.894646048545837402e-02
6.184265017509460449e-02,2.925930311903357506e-03,5.891672149300575256e-02
6.160417199134826660e-02,2.984494436532258987e-03,5.861967802047729492e-02
6.151698902249336243e-02,3.248587949201464653e-03,5.826840177178382874e-02
6.136194616556167603e-02,3.025839105248451233e-03,5.833610519766807556e-02
6.109228730201721191e-02,2.948408946394920349e-03,5.814388021826744080e-02
6.112499535083770752e-02,3.245547180995345116e-03,5.787944793701171875e-02
6.110164150595664978e-02,3.225899999961256981e-03,5.787574127316474915e-02
6.089494377374649048e-02,3.309237072244286537e-03,5.758570507168769836e-02
6.082450225949287415e-02,3.374408697709441185e-03,5.745009332895278931e-02
6.116703152656555176e-02,3.627361729741096497e-03,5.753967165946960449e-02
