total_loss,nll_loss,entropy_penalty
2.547938823699951172e+00,2.430859804153442383e+00,1.170789003372192383e-01
2.460778713226318359e+00,2.344322681427001953e+00,1.164561510086059570e-01
2.394126892089843750e+00,2.278703689575195312e+00,1.154232174158096313e-01
2.330462455749511719e+00,2.216282844543457031e+00,1.141797006130218506e-01
2.270461559295654297e+00,2.157814502716064453e+00,1.126469671726226807e-01
2.205589056015014648e+00,2.094663143157958984e+00,1.109258234500885010e-01
2.133051395416259766e+00,2.023960113525390625e+00,1.090913563966751099e-01
2.052318811416625977e+00,1.945196628570556641e+00,1.071221306920051575e-01
1.952237844467163086e+00,1.847135782241821289e+00,1.051020249724388123e-01
1.827543377876281738e+00,1.724530100822448730e+00,1.030133217573165894e-01
1.677033424377441406e+00,1.576212763786315918e+00,1.008206307888031006e-01
1.506573796272277832e+00,1.407999873161315918e+00,9.857393801212310791e-02
1.323309540748596191e+00,1.227009773254394531e+00,9.629979729652404785e-02
1.137187361717224121e+00,1.043162226676940918e+00,9.402510523796081543e-02
9.581184983253479004e-01,8.663629889488220215e-01,9.175552427768707275e-02
7.875958681106567383e-01,6.980350613594055176e-01,8.956077694892883301e-02
6.220911741256713867e-01,5.346405506134033203e-01,8.745065331459045410e-02
4.647253751754760742e-01,3.793231248855590820e-01,8.540225774049758911e-02
3.271654844284057617e-01,2.437321990728378296e-01,8.343329280614852905e-02
2.253381609916687012e-01,1.437818855047225952e-01,8.155626803636550903e-02
1.657952070236206055e-01,8.601155877113342285e-02,7.978364080190658569e-02
1.325699985027313232e-01,5.440017208456993103e-02,7.816982269287109375e-02
1.117806136608123779e-01,3.507097437977790833e-02,7.670964300632476807e-02
9.785139560699462891e-02,2.247089147567749023e-02,7.538050413131713867e-02
8.828740566968917847e-02,1.413972396403551102e-02,7.414767891168594360e-02
8.230224996805191040e-02,9.329123422503471375e-03,7.297312468290328979e-02
7.888635993003845215e-02,7.050366606563329697e-03,7.183599472045898438e-02
7.658442854881286621e-02,5.846521351486444473e-03,7.073790580034255981e-02
