total_loss,nll_loss,entropy_penalty
8.534395217895507812e+00,2.679634809494018555e+00,5.854760646820068359e+00
8.290424346923828125e+00,2.506601810455322266e+00,5.783823013305664062e+00
8.058855056762695312e+00,2.377497911453247070e+00,5.681356906890869141e+00
7.843096733093261719e+00,2.277759552001953125e+00,5.565337181091308594e+00
7.629704475402832031e+00,2.181712627410888672e+00,5.447991847991943359e+00
7.410000801086425781e+00,2.074441909790039062e+00,5.335558891296386719e+00
7.180234909057617188e+00,1.949884772300720215e+00,5.230350017547607422e+00
6.941423416137695312e+00,1.809447765350341797e+00,5.131975650787353516e+00
6.684122085571289062e+00,1.645879864692687988e+00,5.038242340087890625e+00
6.406263351440429688e+00,1.459965109825134277e+00,4.946298122406005859e+00
6.106656074523925781e+00,1.252050876617431641e+00,4.854605197906494141e+00
5.782374382019042969e+00,1.020017623901367188e+00,4.762356758117675781e+00
5.432957649230957031e+00,7.630521655082702637e-01,4.669905662536621094e+00
5.072101593017578125e+00,4.947689771652221680e-01,4.577332496643066406e+00
4.749584197998046875e+00,2.654513716697692871e-01,4.484132766723632812e+00
4.511977672576904297e+00,1.222873181104660034e-01,4.389690399169921875e+00
4.352699756622314453e+00,5.939213931560516357e-02,4.293307781219482422e+00
4.228918075561523438e+00,3.269203379750251770e-02,4.196226119995117188e+00
4.118898391723632812e+00,1.967910677194595337e-02,4.099219322204589844e+00
4.015017986297607422e+00,1.277651637792587280e-02,4.002241611480712891e+00
3.913756847381591797e+00,8.949571289122104645e-03,3.904807329177856445e+00
3.813214063644409180e+00,6.870169192552566528e-03,3.806343793869018555e+00
3.712489843368530273e+00,5.937522742897272110e-03,3.706552267074584961e+00
3.611377716064453125e+00,5.908286664634943008e-03,3.605469465255737305e+00
3.510094881057739258e+00,6.867979187518358231e-03,3.503226995468139648e+00
3.409240722656250000e+00,9.307781234383583069e-03,3.399932861328125000e+00
3.309170246124267578e+00,1.329688820987939835e-02,3.295873403549194336e+00
3.207387447357177734e+00,1.578284241259098053e-02,3.191604614257812500e+00
3.101648330688476562e+00,1.603688858449459076e-02,3.085611343383789062e+00
2.992257356643676758e+00,1.572031155228614807e-02,2.976536989212036133e+00
2.881501674652099609e+00,1.587424986064434052e-02,2.865627527236938477e+00
2.772456645965576172e+00,1.813956163823604584e-02,2.754317045211791992e+00
2.665254592895507812e+00,1.881240867078304291e-02,2.646442174911499023e+00
2.560389518737792969e+00,1.662853732705116272e-02,2.543761014938354492e+00
2.458461999893188477e+00,1.708818413317203522e-02,2.441373825073242188e+00
2.362218856811523438e+00,1.329538971185684204e-02,2.348923444747924805e+00
2.262928485870361328e+00,1.115144789218902588e-02,2.251776933670043945e+00
2.176687717437744141e+00,2.190291881561279297e-02,2.154784917831420898e+00
2.092837333679199219e+00,1.420687790960073471e-02,2.078630447387695312e+00
2.017362594604492188e+00,2.687518484890460968e-02,1.990487337112426758e+00
1.923121809959411621e+00,1.260473579168319702e-02,1.910517096519470215e+00
1.834158778190612793e+00,1.653635129332542419e-02,1.817622423171997070e+00
1.736011147499084473e+00,1.401896681636571884e-02,1.721992135047912598e+00
1.648046612739562988e+00,2.481437101960182190e-02,1.623232245445251465e+00
1.557413101196289062e+00,2.081200852990150452e-02,1.536601066589355469e+00
1.457981586456298828e+00,1.549875363707542419e-02,1.442482829093933105e+00
1.369966983795166016e+00,2.652814798057079315e-02,1.343438863754272461e+00
1.277723789215087891e+00,1.662462204694747925e-02,1.261099219322204590e+00
1.210698366165161133e+00,3.737248107790946960e-02,1.173325896263122559e+00
1.124770164489746094e+00,1.834692247211933136e-02,1.106423258781433105e+00
1.068478107452392578e+00,3.433062508702278137e-02,1.034147500991821289e+00
9.990848898887634277e-01,2.165379934012889862e-02,9.774311184883117676e-01
9.895120859146118164e-01,8.203378319740295410e-02,9.074783325195312500e-01
9.657552838325500488e-01,1.084413751959800720e-01,8.573139309883117676e-01
8.610832095146179199e-01,4.605540260672569275e-02,8.150278329849243164e-01
8.358407020568847656e-01,6.403307616710662842e-02,7.718076109886169434e-01
7.833510637283325195e-01,4.381509125232696533e-02,7.395359873771667480e-01
7.241854071617126465e-01,1.548708137124776840e-02,7.086983323097229004e-01
7.276047468185424805e-01,5.341015756130218506e-02,6.741945743560791016e-01
