total_loss,nll_loss,entropy_penalty
2.443363904953002930e+00,2.431937217712402344e+00,1.142665743827819824e-02
2.729718685150146484e+00,2.322434425354003906e+00,4.072842001914978027e-01
3.834407806396484375e+00,2.276195287704467773e+00,1.558212518692016602e+00
5.555149078369140625e+00,2.174843788146972656e+00,3.380305528640747070e+00
7.860574245452880859e+00,2.136663436889648438e+00,5.723910808563232422e+00
1.050552749633789062e+01,2.068842411041259766e+00,8.436684608459472656e+00
1.337346076965332031e+01,2.008824110031127930e+00,1.136463642120361328e+01
1.636754417419433594e+01,1.971568584442138672e+00,1.439597511291503906e+01
1.939472961425781250e+01,1.944217443466186523e+00,1.745051193237304688e+01
2.237486457824707031e+01,1.924942255020141602e+00,2.044992256164550781e+01
2.521940040588378906e+01,1.913369059562683105e+00,2.330603218078613281e+01
2.783519554138183594e+01,1.905470967292785645e+00,2.592972373962402344e+01
3.013438987731933594e+01,1.898806333541870117e+00,2.823558425903320312e+01
3.204772567749023438e+01,1.893750190734863281e+00,3.015397644042968750e+01
3.353047943115234375e+01,1.889637947082519531e+00,3.164084243774414062e+01
3.455957794189453125e+01,1.885652422904968262e+00,3.267392730712890625e+01
3.512172317504882812e+01,1.882109761238098145e+00,3.323961257934570312e+01
3.521688079833984375e+01,1.880475878715515137e+00,3.333640670776367188e+01
3.484683227539062500e+01,1.879803657531738281e+00,3.296702957153320312e+01
3.401060104370117188e+01,1.878661274909973145e+00,3.213193893432617188e+01
3.272673797607421875e+01,1.878232717514038086e+00,3.084850502014160156e+01
3.104833221435546875e+01,1.879574537277221680e+00,2.916875839233398438e+01
2.906318283081054688e+01,1.881591439247131348e+00,2.718159103393554688e+01
2.683515167236328125e+01,1.880471467971801758e+00,2.495467948913574219e+01
2.440522766113281250e+01,1.875064730644226074e+00,2.253016281127929688e+01
2.185349273681640625e+01,1.866122722625732422e+00,1.998736953735351562e+01
1.926345062255859375e+01,1.850940823554992676e+00,1.741250991821289062e+01
1.669006729125976562e+01,1.825291633605957031e+00,1.486477470397949219e+01
1.418290805816650391e+01,1.789640307426452637e+00,1.239326763153076172e+01
1.179849243164062500e+01,1.746505260467529297e+00,1.005198764801025391e+01
9.587756156921386719e+00,1.693217754364013672e+00,7.894538402557373047e+00
7.582707881927490234e+00,1.620984673500061035e+00,5.961723327636718750e+00
5.802189826965332031e+00,1.523675203323364258e+00,4.278514862060546875e+00
4.265393257141113281e+00,1.405699610710144043e+00,2.859693527221679688e+00
2.991905927658081055e+00,1.275359272956848145e+00,1.716546654701232910e+00
2.022247552871704102e+00,1.160716891288757324e+00,8.615307211875915527e-01
1.392254948616027832e+00,1.087011694908142090e+00,3.052432239055633545e-01
1.069485068321228027e+00,1.033420920372009277e+00,3.606417030096054077e-02
9.744967222213745117e-01,9.396157264709472656e-01,3.488098084926605225e-02
1.202152729034423828e+00,9.283864498138427734e-01,2.737663388252258301e-01
1.598172426223754883e+00,8.709853291511535645e-01,7.271870374679565430e-01
2.216099262237548828e+00,8.511789441108703613e-01,1.364920258522033691e+00
2.949336767196655273e+00,7.938897609710693359e-01,2.155447006225585938e+00
3.797524452209472656e+00,7.788511514663696289e-01,3.018673419952392578e+00
4.653892040252685547e+00,7.938708066940307617e-01,3.860021352767944336e+00
5.421774864196777344e+00,7.885237932205200195e-01,4.633251190185546875e+00
6.076725006103515625e+00,8.205720782279968262e-01,5.256153106689453125e+00
6.598579406738281250e+00,9.103600978851318359e-01,5.688219547271728516e+00
6.948497295379638672e+00,9.999905824661254883e-01,5.948506832122802734e+00
7.133043766021728516e+00,1.184982776641845703e+00,5.948060989379882812e+00
7.109116554260253906e+00,1.435285806655883789e+00,5.673830986022949219e+00
6.803173542022705078e+00,1.800282359123229980e+00,5.002891063690185547e+00
6.336071014404296875e+00,2.175022602081298828e+00,4.161048412322998047e+00
5.459573268890380859e+00,2.252105712890625000e+00,3.207467555999755859e+00
4.120089530944824219e+00,2.224446535110473633e+00,1.895643234252929688e+00
3.079249858856201172e+00,2.223797321319580078e+00,8.554524183273315430e-01
2.561688423156738281e+00,2.230373382568359375e+00,3.313151299953460693e-01
2.356525659561157227e+00,2.232867002487182617e+00,1.236586570739746094e-01
2.280990600585937500e+00,2.233670234680175781e+00,4.732028022408485413e-02
2.252954483032226562e+00,2.233940124511718750e+00,1.901438273489475250e-02
2.242111206054687500e+00,2.234038114547729492e+00,8.072977885603904724e-03
2.237694740295410156e+00,2.234076738357543945e+00,3.617902053520083427e-03
2.235795021057128906e+00,2.234091520309448242e+00,1.703390385955572128e-03
2.234938859939575195e+00,2.234100818634033203e+00,8.380940416827797890e-04
2.234530448913574219e+00,2.234102964401245117e+00,4.275853862054646015e-04
2.234330892562866211e+00,2.234105825424194336e+00,2.249874087283387780e-04
2.234227180480957031e+00,2.234106063842773438e+00,1.210844784509390593e-04
2.234175682067871094e+00,2.234109878540039062e+00,6.584743823623284698e-05
2.234143733978271484e+00,2.234107732772827148e+00,3.597132672439329326e-05
2.234127998352050781e+00,2.234108686447143555e+00,1.939939829753711820e-05
2.234117984771728516e+00,2.234107732772827148e+00,1.021313255478162318e-05
2.234113454818725586e+00,2.234108448028564453e+00,5.037158643972361460e-06
2.234110832214355469e+00,2.234108686447143555e+00,2.244073357360321097e-06
2.234110116958618164e+00,2.234109401702880859e+00,8.188168862943712156e-07
2.234107971191406250e+00,2.234107732772827148e+00,1.697813019063687534e-07
2.234109401702880859e+00,2.234109401702880859e+00,3.961752703673937503e-09
2.234107732772827148e+00,2.234107732772827148e+00,1.177451807166107756e-07
2.234109640121459961e+00,2.234109163284301758e+00,3.961469587920873892e-07
2.234110832214355469e+00,2.234110116958618164e+00,7.701981417085335124e-07
2.234110116958618164e+00,2.234108924865722656e+00,1.196214498122571968e-06
2.234108686447143555e+00,2.234107017517089844e+00,1.645669271965743974e-06
2.234111309051513672e+00,2.234109401702880859e+00,1.960814188350923359e-06
2.234111070632934570e+00,2.234108686447143555e+00,2.360619873797986656e-06
2.234111785888671875e+00,2.234109163284301758e+00,2.737420118137379177e-06
2.234112024307250977e+00,2.234108924865722656e+00,3.084533091168850660e-06
2.234112024307250977e+00,2.234108686447143555e+00,3.396786496523418464e-06
2.234112501144409180e+00,2.234108924865722656e+00,3.670067826533340849e-06
2.234113931655883789e+00,2.234110116958618164e+00,3.901036961906356737e-06
2.234113454818725586e+00,2.234109401702880859e+00,4.087052730028517544e-06
2.234113216400146484e+00,2.234108924865722656e+00,4.226099918014369905e-06
2.234113931655883789e+00,2.234109640121459961e+00,4.316815193305956200e-06
2.234112977981567383e+00,2.234108686447143555e+00,4.358500063972314820e-06
2.234112977981567383e+00,2.234108686447143555e+00,4.351211373432306573e-06
2.234113931655883789e+00,2.234109640121459961e+00,4.295764028938720003e-06
2.234113931655883789e+00,2.234109640121459961e+00,4.193758286419324577e-06
2.234113454818725586e+00,2.234109401702880859e+00,4.047621587233152241e-06
2.234112501144409180e+00,2.234108686447143555e+00,3.860631750285392627e-06
2.234113454818725586e+00,2.234109878540039062e+00,3.636849214672110975e-06
2.234112739562988281e+00,2.234109401702880859e+00,3.381102033017668873e-06
2.234112024307250977e+00,2.234108924865722656e+00,3.098891056652064435e-06
2.234111785888671875e+00,2.234108924865722656e+00,2.796318767650518566e-06
2.234111070632934570e+00,2.234108686447143555e+00,2.479987415426876396e-06
2.234111309051513672e+00,2.234109163284301758e+00,2.156832579203182831e-06
2.234110593795776367e+00,2.234108686447143555e+00,1.833990268096385989e-06
2.234110355377197266e+00,2.234108924865722656e+00,1.518637873232364655e-06
2.234111309051513672e+00,2.234110116958618164e+00,1.217817498400108889e-06
2.234110593795776367e+00,2.234109640121459961e+00,9.382750363329250831e-07
2.234108924865722656e+00,2.234108209609985352e+00,6.862778150207304861e-07
2.234107971191406250e+00,2.234107494354248047e+00,4.674617741784459213e-07
2.234107971191406250e+00,2.234107732772827148e+00,2.866742363494267920e-07
2.234107971191406250e+00,2.234107732772827148e+00,1.478491924444824690e-07
2.234107971191406250e+00,2.234107971191406250e+00,5.389034996028385649e-08
2.234107732772827148e+00,2.234107732772827148e+00,6.588043444111235658e-09
2.234107732772827148e+00,2.234107732772827148e+00,6.561160947882171968e-09
2.234107971191406250e+00,2.234107971191406250e+00,5.323110130461827794e-08
2.234107255935668945e+00,2.234107017517089844e+00,1.448263162728835596e-07
2.234107494354248047e+00,2.234107255935668945e+00,2.784210266781883547e-07
2.234107732772827148e+00,2.234107255935668945e+00,4.500027159792807652e-07
2.234108686447143555e+00,2.234107971191406250e+00,6.545734549945336767e-07
2.234108924865722656e+00,2.234107971191406250e+00,8.862787694852158893e-07
2.234109163284301758e+00,2.234107971191406250e+00,1.138555944635299966e-06
2.234109163284301758e+00,2.234107732772827148e+00,1.404307340635568835e-06
2.234109878540039062e+00,2.234108209609985352e+00,1.676089937063807156e-06
2.234110593795776367e+00,2.234108686447143555e+00,1.946315933309961110e-06
2.234110832214355469e+00,2.234108686447143555e+00,2.207464831371908076e-06
2.234109640121459961e+00,2.234107255935668945e+00,2.452270564390346408e-06
2.234109878540039062e+00,2.234107255935668945e+00,2.673925564522505738e-06
2.234111309051513672e+00,2.234108448028564453e+00,2.866273916879436001e-06
2.234111070632934570e+00,2.234107971191406250e+00,3.023975750693352893e-06
2.234111070632934570e+00,2.234107971191406250e+00,3.142662080790614709e-06
2.234111309051513672e+00,2.234107971191406250e+00,3.219040536350803450e-06
2.234111309051513672e+00,2.234107971191406250e+00,3.250986537750577554e-06
2.234111309051513672e+00,2.234107971191406250e+00,3.237625833207857795e-06
2.234111070632934570e+00,2.234107971191406250e+00,3.179340183123713359e-06
2.234111070632934570e+00,2.234107971191406250e+00,3.077758265135344118e-06
2.234110832214355469e+00,2.234107971191406250e+00,2.935711563623044640e-06
2.234110832214355469e+00,2.234107971191406250e+00,2.757161382760386914e-06
2.234110593795776367e+00,2.234107971191406250e+00,2.547093799876165576e-06
2.234110355377197266e+00,2.234107971191406250e+00,2.311349589945166372e-06
2.234110116958618164e+00,2.234107971191406250e+00,2.056507128145312890e-06
2.234109878540039062e+00,2.234107971191406250e+00,1.789675252439337783e-06
2.234109401702880859e+00,2.234107971191406250e+00,1.518289423074747901e-06
2.234108924865722656e+00,2.234107732772827148e+00,1.249912202183622867e-06
2.234108686447143555e+00,2.234107732772827148e+00,9.920286174747161567e-07
2.234108448028564453e+00,2.234107732772827148e+00,7.518301572417840362e-07
2.234108209609985352e+00,2.234107732772827148e+00,5.360111572372261435e-07
2.234107971191406250e+00,2.234107732772827148e+00,3.505890617816476151e-07
2.234107971191406250e+00,2.234107732772827148e+00,2.007314776619750774e-07
2.234107732772827148e+00,2.234107732772827148e+00,9.061197658866149141e-08
2.234107732772827148e+00,2.234107732772827148e+00,2.329430870418036648e-08
