total_loss,nll_loss,entropy_penalty
2.443363904953002930e+00,2.431937217712402344e+00,1.142665743827819824e-02
2.412878036499023438e+00,2.322434425354003906e+00,9.044350683689117432e-02
2.598509311676025391e+00,2.277617931365966797e+00,3.208914995193481445e-01
2.861764669418334961e+00,2.171830892562866211e+00,6.899337172508239746e-01
3.296515464782714844e+00,2.123929977416992188e+00,1.172585487365722656e+00
3.768776178359985352e+00,2.025235652923583984e+00,1.743540525436401367e+00
4.309709548950195312e+00,1.942504405975341797e+00,2.367205381393432617e+00
4.856284618377685547e+00,1.844954371452331543e+00,3.011330366134643555e+00
5.375595092773437500e+00,1.728849887847900391e+00,3.646744966506958008e+00
5.858050346374511719e+00,1.603222489356994629e+00,4.254827976226806641e+00
6.286167621612548828e+00,1.466512680053710938e+00,4.819654941558837891e+00
6.657714843750000000e+00,1.330384254455566406e+00,5.327330589294433594e+00
6.969169139862060547e+00,1.201601028442382812e+00,5.767568111419677734e+00
7.209162235260009766e+00,1.079562187194824219e+00,6.129600048065185547e+00
7.368598937988281250e+00,9.625322818756103516e-01,6.406066894531250000e+00
7.442425727844238281e+00,8.515083193778991699e-01,6.590917587280273438e+00
7.428304195404052734e+00,7.496632933616638184e-01,6.678640842437744141e+00
7.326458454132080078e+00,6.580854058265686035e-01,6.668373107910156250e+00
7.134515285491943359e+00,5.661263465881347656e-01,6.568388938903808594e+00
6.856192588806152344e+00,4.740337431430816650e-01,6.382158756256103516e+00
6.501692771911621094e+00,3.846232593059539795e-01,6.117069721221923828e+00
6.080067634582519531e+00,3.001933991909027100e-01,5.779874324798583984e+00
5.606256484985351562e+00,2.315953224897384644e-01,5.374660968780517578e+00
5.101139068603515625e+00,1.900498420000076294e-01,4.911089420318603516e+00
4.580561161041259766e+00,1.702869236469268799e-01,4.410274028778076172e+00
4.054579257965087891e+00,1.595703363418579102e-01,3.895009040832519531e+00
3.526321649551391602e+00,1.393242329359054565e-01,3.386997461318969727e+00
3.001095294952392578e+00,1.100308373570442200e-01,2.891064405441284180e+00
2.494066715240478516e+00,8.931941539049148560e-02,2.404747247695922852e+00
2.017670869827270508e+00,7.899609953165054321e-02,1.938674688339233398e+00
1.583361625671386719e+00,7.267218083143234253e-02,1.510689496994018555e+00
1.198707222938537598e+00,6.377603858709335327e-02,1.134931206703186035e+00
8.669447898864746094e-01,5.346328765153884888e-02,8.134815096855163574e-01
5.897300839424133301e-01,4.558504745364189148e-02,5.441450476646423340e-01
3.683568239212036133e-01,4.070485755801200867e-02,3.276519775390625000e-01
2.046112865209579468e-01,3.807535767555236816e-02,1.665359288454055786e-01
9.439663589000701904e-02,3.268238529562950134e-02,6.171424686908721924e-02
3.727772831916809082e-02,2.720586210489273071e-02,1.007186435163021088e-02
3.225701302289962769e-02,2.224151603877544403e-02,1.001549605280160904e-02
7.863768935203552246e-02,1.762180775403976440e-02,6.101588159799575806e-02
1.764707565307617188e-01,1.484957151114940643e-02,1.616211831569671631e-01
3.191451430320739746e-01,1.404892280697822571e-02,3.050962090492248535e-01
4.946260154247283936e-01,1.581341587007045746e-02,4.788126051425933838e-01
6.913252472877502441e-01,2.912377938628196716e-02,6.622014641761779785e-01
9.033785462379455566e-01,4.765612632036209106e-02,8.557224273681640625e-01
1.122847795486450195e+00,3.757115826010704041e-02,1.085276603698730469e+00
1.323950886726379395e+00,5.860917270183563232e-02,1.265341758728027344e+00
1.563253283500671387e+00,1.821846961975097656e-01,1.381068587303161621e+00
1.771950840950012207e+00,5.162824317812919617e-02,1.720322608947753906e+00
2.023521423339843750e+00,6.482851505279541016e-02,1.958692908287048340e+00
2.167956590652465820e+00,8.579540252685546875e-02,2.082161188125610352e+00
2.311801910400390625e+00,2.353415191173553467e-01,2.076460361480712891e+00
2.314849376678466797e+00,1.002113595604896545e-01,2.214637994766235352e+00
2.389621496200561523e+00,1.713032424449920654e-01,2.218318223953247070e+00
2.694786071777343750e+00,5.396128892898559570e-01,2.155173301696777344e+00
2.482546806335449219e+00,1.368706971406936646e-01,2.345676183700561523e+00
2.552327156066894531e+00,1.533239036798477173e-01,2.399003267288208008e+00
2.604331970214843750e+00,2.654122710227966309e-01,2.338919639587402344e+00
2.596523046493530273e+00,3.545412123203277588e-01,2.241981744766235352e+00
2.489069938659667969e+00,2.771499156951904297e-01,2.211920022964477539e+00
2.376383543014526367e+00,2.246664017438888550e-01,2.151717185974121094e+00
2.204260110855102539e+00,1.763663291931152344e-01,2.027893781661987305e+00
1.991335630416870117e+00,1.455993503332138062e-01,1.845736265182495117e+00
1.771982312202453613e+00,1.451355963945388794e-01,1.626846671104431152e+00
1.594650030136108398e+00,1.880441457033157349e-01,1.406605839729309082e+00
1.410024642944335938e+00,1.990152597427368164e-01,1.211009383201599121e+00
1.222357869148254395e+00,1.921891123056411743e-01,1.030168771743774414e+00
1.037771940231323242e+00,1.791333854198455811e-01,8.586385250091552734e-01
8.475566506385803223e-01,1.540406942367553711e-01,6.935159564018249512e-01
6.534272432327270508e-01,1.179334521293640137e-01,5.354937911033630371e-01
5.011737942695617676e-01,1.128071025013923645e-01,3.883666992187500000e-01
3.955962359905242920e-01,1.382998824119567871e-01,2.572963535785675049e-01
2.563441395759582520e-01,1.087217032909393311e-01,1.476224213838577271e-01
1.767888069152832031e-01,1.097528487443923950e-01,6.703596562147140503e-02
1.350812166929244995e-01,1.165743321180343628e-01,1.850688830018043518e-02
1.191909238696098328e-01,1.168738827109336853e-01,2.317040460184216499e-03
1.279263645410537720e-01,1.093212962150573730e-01,1.860507391393184662e-02
1.671763062477111816e-01,9.987608343362808228e-02,6.730023026466369629e-02
2.515912353992462158e-01,1.043408587574958801e-01,1.472503691911697388e-01
3.577030599117279053e-01,1.019076779484748840e-01,2.557953894138336182e-01
4.823675751686096191e-01,9.356831014156341553e-02,3.887992501258850098e-01
6.350733041763305664e-01,9.398114681243896484e-02,5.410921573638916016e-01
8.069987893104553223e-01,9.980732202529907227e-02,7.071914672851562500e-01
9.822883605957031250e-01,1.002497375011444092e-01,8.820385932922363281e-01
1.165556192398071289e+00,1.053529828786849976e-01,1.060203194618225098e+00
1.354295730590820312e+00,1.175351738929748535e-01,1.236760616302490234e+00
1.537636756896972656e+00,1.286100894212722778e-01,1.409026622772216797e+00
1.711235642433166504e+00,1.373016536235809326e-01,1.573933959007263184e+00
1.868487715721130371e+00,1.413978338241577148e-01,1.727089881896972656e+00
2.006119012832641602e+00,1.427637636661529541e-01,1.863355278968811035e+00
2.125275135040283203e+00,1.488385945558547974e-01,1.976436614990234375e+00
2.220646142959594727e+00,1.586651057004928589e-01,2.061980962753295898e+00
2.286658763885498047e+00,1.678755134344100952e-01,2.118783235549926758e+00
2.320837736129760742e+00,1.735487729310989380e-01,2.147289037704467773e+00
2.324616432189941406e+00,1.768271476030349731e-01,2.147789239883422852e+00
2.300102949142456055e+00,1.791782081127166748e-01,2.120924711227416992e+00
2.246379137039184570e+00,1.782612502574920654e-01,2.068117856979370117e+00
2.163358211517333984e+00,1.731366068124771118e-01,1.990221500396728516e+00
2.055780172348022461e+00,1.681218743324279785e-01,1.887658238410949707e+00
1.926381349563598633e+00,1.632898449897766113e-01,1.763091564178466797e+00
1.776490926742553711e+00,1.554029583930969238e-01,1.621087908744812012e+00
1.610507488250732422e+00,1.451258063316345215e-01,1.465381622314453125e+00
1.433681130409240723e+00,1.348643153905868530e-01,1.298816800117492676e+00
1.250392913818359375e+00,1.258406937122344971e-01,1.124552249908447266e+00
1.065471410751342773e+00,1.185902953147888184e-01,9.468811154365539551e-01
8.840723037719726562e-01,1.130130887031555176e-01,7.710592150688171387e-01
7.110430598258972168e-01,1.083031222224235535e-01,6.027399301528930664e-01
5.514754056930541992e-01,1.042072102427482605e-01,4.472682178020477295e-01
4.102995395660400391e-01,1.009999737143516541e-01,3.092995584011077881e-01
2.915539741516113281e-01,9.869559109210968018e-02,1.928583979606628418e-01
1.987700462341308594e-01,9.721720218658447266e-02,1.015528365969657898e-01
1.348667889833450317e-01,9.629058837890625000e-02,3.857620060443878174e-02
1.018353775143623352e-01,9.544997662305831909e-02,6.385399494320154190e-03
1.007356122136116028e-01,9.433235228061676025e-02,6.403262726962566376e-03
1.325685381889343262e-01,9.364889562129974365e-02,3.891964256763458252e-02
1.968249976634979248e-01,9.365198761224746704e-02,1.031730175018310547e-01
2.910985648632049561e-01,9.374358505010604858e-02,1.973549872636795044e-01
