total_loss,nll_loss,entropy_penalty
1.581474781036376953e+00,1.467208266258239746e+00,1.142665669322013855e-01
1.790005445480346680e+00,1.677034974098205566e+00,1.129705309867858887e-01
1.052069067955017090e+00,9.410807490348815918e-01,1.109883487224578857e-01
9.541783928871154785e-01,8.450201749801635742e-01,1.091582253575325012e-01
1.400969982147216797e+00,1.293582320213317871e+00,1.073876544833183289e-01
2.004161596298217773e+00,1.898651719093322754e+00,1.055099070072174072e-01
2.360321998596191406e+00,2.256121873855590820e+00,1.042001545429229736e-01
1.772433757781982422e+00,1.669857382774353027e+00,1.025763750076293945e-01
9.449338912963867188e-01,8.441155552864074707e-01,1.008183658123016357e-01
1.053595900535583496e+00,9.547573924064636230e-01,9.883850812911987305e-02
1.556916236877441406e+00,1.460166335105895996e+00,9.674993902444839478e-02
1.137645244598388672e+00,1.042882919311523438e+00,9.476235508918762207e-02
7.781963348388671875e-01,6.855402588844299316e-01,9.265609830617904663e-02
9.419634938240051270e-01,8.514189720153808594e-01,9.054450690746307373e-02
8.366898894309997559e-01,7.484927773475646973e-01,8.819709718227386475e-02
8.445335626602172852e-01,7.583501935005187988e-01,8.618335425853729248e-02
2.967109382152557373e-01,2.129529565572738647e-01,8.375797420740127563e-02
7.774093151092529297e-01,6.963270902633666992e-01,8.108220994472503662e-02
4.060953259468078613e-01,3.276609778404235840e-01,7.843436300754547119e-02
3.580129742622375488e-01,2.821743488311767578e-01,7.583862543106079102e-02
4.678633809089660645e-01,3.945368230342864990e-01,7.332656532526016235e-02
9.192667156457901001e-02,2.081389166414737701e-02,7.111278176307678223e-02
7.061841338872909546e-02,1.712810364551842213e-03,6.890559941530227661e-02
1.275887012481689453e+00,1.209044218063354492e+00,6.684278696775436401e-02
1.868429481983184814e-01,1.205392852425575256e-01,6.630366295576095581e-02
2.948688566684722900e-01,2.294195890426635742e-01,6.544927507638931274e-02
2.416717112064361572e-01,1.771053522825241089e-01,6.456635147333145142e-02
4.676951766014099121e-01,4.041538536548614502e-01,6.354132294654846191e-02
2.582294344902038574e-01,1.959732174873352051e-01,6.225620210170745850e-02
1.209838464856147766e-01,6.014374271035194397e-02,6.084010377526283264e-02
5.544658303260803223e-01,4.950965642929077148e-01,5.936928465962409973e-02
4.190716445446014404e-01,3.608396947383880615e-01,5.823196098208427429e-02
1.153456494212150574e-01,5.825141444802284241e-02,5.709423497319221497e-02
9.171243011951446533e-02,3.634839877486228943e-02,5.536403506994247437e-02
2.669699788093566895e-01,2.133468836545944214e-01,5.362309515476226807e-02
1.109737977385520935e-01,5.718833208084106445e-02,5.378546565771102905e-02
