total_loss,nll_loss,entropy_penalty
1.581474781036376953e+00,1.467208266258239746e+00,1.142665669322013855e-01
1.073734760284423828e+00,9.607642889022827148e-01,1.129705309867858887e-01
1.223952293395996094e+00,1.112820744514465332e+00,1.111315041780471802e-01
2.108929157257080078e+00,1.999727964401245117e+00,1.092012375593185425e-01
9.464550018310546875e-01,8.387426733970642090e-01,1.077123209834098816e-01
2.035949468612670898e+00,1.929929852485656738e+00,1.060195043683052063e-01
1.981241703033447266e+00,1.876517534255981445e+00,1.047241464257240295e-01
9.946194887161254883e-01,8.915093541145324707e-01,1.031101569533348083e-01
2.642279386520385742e+00,2.540797233581542969e+00,1.014821529388427734e-01
1.272245526313781738e+00,1.172511935234069824e+00,9.973356127738952637e-02
1.105195879936218262e+00,1.007354140281677246e+00,9.784170240163803101e-02
7.291361689567565918e-01,6.332370042800903320e-01,9.589915722608566284e-02
2.397278547286987305e+00,2.303285121917724609e+00,9.399335831403732300e-02
1.539882183074951172e+00,1.447872042655944824e+00,9.201017767190933228e-02
1.175680160522460938e+00,1.085344195365905762e+00,9.033592790365219116e-02
2.378317356109619141e+00,2.289991378784179688e+00,8.832591772079467773e-02
8.284542560577392578e-01,7.422021627426147461e-01,8.625207096338272095e-02
1.061734080314636230e+00,9.781365990638732910e-01,8.359747380018234253e-02
1.551038980484008789e+00,1.470396280288696289e+00,8.064275234937667847e-02
1.117141604423522949e+00,1.039457917213439941e+00,7.768366485834121704e-02
7.117757797241210938e-01,6.372805833816528320e-01,7.449518144130706787e-02
1.108484506607055664e+00,1.036879062652587891e+00,7.160542160272598267e-02
1.344701647758483887e+00,1.275437593460083008e+00,6.926403194665908813e-02
1.049719095230102539e+00,9.821938276290893555e-01,6.752526015043258667e-02
2.600559294223785400e-01,1.940659433603286743e-01,6.598998606204986572e-02
9.998100996017456055e-02,3.562239557504653931e-02,6.435861438512802124e-02
1.729889214038848877e-01,1.102514266967773438e-01,6.273749470710754395e-02
1.570483744144439697e-01,9.585783630609512329e-02,6.119054183363914490e-02
1.888455450534820557e-01,1.290732622146606445e-01,5.977227911353111267e-02
1.487594246864318848e-01,9.031055122613906860e-02,5.844886600971221924e-02
1.520235240459442139e-01,9.454900771379470825e-02,5.747451260685920715e-02
4.690752625465393066e-01,4.125297665596008301e-01,5.654549598693847656e-02
2.894164919853210449e-01,2.330857217311859131e-01,5.633077397942543030e-02
1.083968281745910645e-01,5.266786366701126099e-02,5.572896450757980347e-02
2.852435708045959473e-01,2.306050807237625122e-01,5.463849753141403198e-02
1.451800316572189331e-01,9.091958403587341309e-02,5.426044762134552002e-02
2.679373919963836670e-01,2.141113728284835815e-01,5.382601916790008545e-02
1.699457913637161255e-01,1.164981946349143982e-01,5.344759300351142883e-02
4.431800544261932373e-01,3.900911509990692139e-01,5.308891087770462036e-02
1.031090542674064636e-01,5.070263147354125977e-02,5.240642279386520386e-02
7.009214162826538086e-02,1.882365345954895020e-02,5.126849189400672913e-02
6.147083640098571777e-02,1.157428137958049774e-02,4.989655688405036926e-02
5.176183581352233887e-02,3.343406133353710175e-03,4.841842874884605408e-02
1.608772873878479004e+00,1.561891913414001465e+00,4.688096791505813599e-02
3.943269252777099609e-01,3.471441864967346191e-01,4.718274995684623718e-02
2.628036141395568848e-01,2.150688916444778442e-01,4.773471876978874207e-02
2.634800374507904053e-01,2.155953347682952881e-01,4.788471013307571411e-02
1.799481511116027832e-01,1.323451995849609375e-01,4.760295152664184570e-02
1.508897244930267334e-01,1.037397161126136780e-01,4.715000092983245850e-02
1.413700729608535767e-01,9.458883106708526611e-02,4.678124189376831055e-02
3.512571752071380615e-01,3.047738969326019287e-01,4.648328199982643127e-02
2.711070179939270020e-01,2.247048020362854004e-01,4.640222340822219849e-02
5.473274365067481995e-02,8.351405151188373566e-03,4.638133943080902100e-02
5.681299790740013123e-02,1.091194618493318558e-02,4.590105265378952026e-02
