total_loss,nll_loss,entropy_penalty
2.443363904953002930e+00,2.431937217712402344e+00,1.142665743827819824e-02
2.373273611068725586e+00,2.322435140609741211e+00,5.083841457962989807e-02
2.443639755249023438e+00,2.277733087539672852e+00,1.659064143896102905e-01
2.522229909896850586e+00,2.171752691268920898e+00,3.504773974418640137e-01
2.715521812438964844e+00,2.122720956802368164e+00,5.928007960319519043e-01
2.901662826538085938e+00,2.020508050918579102e+00,8.811545372009277344e-01
3.130971670150756836e+00,1.932081460952758789e+00,1.198889851570129395e+00
3.343961477279663086e+00,1.813165783882141113e+00,1.530795574188232422e+00
3.528592586517333984e+00,1.667822003364562988e+00,1.860770225524902344e+00
3.680608987808227539e+00,1.503244876861572266e+00,2.177364349365234375e+00
3.791961669921875000e+00,1.322325110435485840e+00,2.469636678695678711e+00
3.872528076171875000e+00,1.142353653907775879e+00,2.730174541473388672e+00
3.923810720443725586e+00,9.684128761291503906e-01,2.955397605895996094e+00
3.947240829467773438e+00,8.099423646926879883e-01,3.137298345565795898e+00
3.940170764923095703e+00,6.654703021049499512e-01,3.274700403213500977e+00
3.894283771514892578e+00,5.280376076698303223e-01,3.366246700286865234e+00
3.805843830108642578e+00,3.954248726367950439e-01,3.410419225692749023e+00
3.681101083755493164e+00,2.765660285949707031e-01,3.404535055160522461e+00
3.535000085830688477e+00,1.869964450597763062e-01,3.348003625869750977e+00
3.372780323028564453e+00,1.317511051893234253e-01,3.241029500961303711e+00
3.191247940063476562e+00,1.035881713032722473e-01,3.087659835815429688e+00
2.987912654876708984e+00,9.296280890703201294e-02,2.894949436187744141e+00
2.764589071273803711e+00,9.125104546546936035e-02,2.673337936401367188e+00
2.526041746139526367e+00,9.219688922166824341e-02,2.433844804763793945e+00
2.273666381835937500e+00,8.718269318342208862e-02,2.186483621597290039e+00
2.011742830276489258e+00,7.695608586072921753e-02,1.934786796569824219e+00
1.748075366020202637e+00,6.783610582351684570e-02,1.680238962173461914e+00
1.489463806152343750e+00,6.114318594336509705e-02,1.428320765495300293e+00
1.241963744163513184e+00,5.557667836546897888e-02,1.186387062072753906e+00
1.011196970939636230e+00,5.158834904432296753e-02,9.596084952354431152e-01
8.015727400779724121e-01,4.905369877815246582e-02,7.525190114974975586e-01
6.141042113304138184e-01,4.465677961707115173e-02,5.694474577903747559e-01
4.491434395313262939e-01,3.633032366633415222e-02,4.128131568431854248e-01
3.086083233356475830e-01,2.845561318099498749e-02,2.801527678966522217e-01
1.932195276021957397e-01,2.171026356518268585e-02,1.715092658996582031e-01
1.067264229059219360e-01,1.756986230611801147e-02,8.915656805038452148e-02
4.948448762297630310e-02,1.505622919648885727e-02,3.442825749516487122e-02
2.012993395328521729e-02,1.291499845683574677e-02,7.214934565126895905e-03
1.849143020808696747e-02,1.135684922337532043e-02,7.134580053389072418e-03
4.419186338782310486e-02,1.098433136940002441e-02,3.320753201842308044e-02
9.369087964296340942e-02,1.010479871183633804e-02,8.358608931303024292e-02
1.647904962301254272e-01,9.553910233080387115e-03,1.552365869283676147e-01
2.547969520092010498e-01,1.125485263764858246e-02,2.435420900583267212e-01
3.580807447433471680e-01,1.436418388038873672e-02,3.437165915966033936e-01
4.699979424476623535e-01,1.709427870810031891e-02,4.529037177562713623e-01
5.894136428833007812e-01,2.369153313338756561e-02,5.657220482826232910e-01
7.100878357887268066e-01,3.341378271579742432e-02,6.766741275787353516e-01
8.332329988479614258e-01,5.156541243195533752e-02,7.816677093505859375e-01
9.853519797325134277e-01,4.131567850708961487e-02,9.440363645553588867e-01
1.091777920722961426e+00,2.253472618758678436e-02,1.069243311882019043e+00
1.183317542076110840e+00,3.210974857211112976e-02,1.151207804679870605e+00
1.254727244377136230e+00,5.697738379240036011e-02,1.197749972343444824e+00
1.361093640327453613e+00,1.295064240694046021e-01,1.231587290763854980e+00
1.401504039764404297e+00,7.628554850816726685e-02,1.325218319892883301e+00
1.447127223014831543e+00,3.757613897323608398e-02,1.409550905227661133e+00
1.482212305068969727e+00,4.942917078733444214e-02,1.432783246040344238e+00
1.453311800956726074e+00,4.807996749877929688e-02,1.405231595039367676e+00
1.409438371658325195e+00,7.995092868804931641e-02,1.329487681388854980e+00
1.408962965011596680e+00,1.515632867813110352e-01,1.257399559020996094e+00
1.404312014579772949e+00,1.530183106660842896e-01,1.251293540000915527e+00
1.313217997550964355e+00,1.103122308850288391e-01,1.202905654907226562e+00
1.244006276130676270e+00,1.164240688085556030e-01,1.127582430839538574e+00
1.138326168060302734e+00,1.105300262570381165e-01,1.027796149253845215e+00
1.054758906364440918e+00,1.350761204957962036e-01,9.196825623512268066e-01
9.290875792503356934e-01,1.152773946523666382e-01,8.138102293014526367e-01
8.446131348609924316e-01,1.335015743970870972e-01,7.111116051673889160e-01
6.902810335159301758e-01,7.235652953386306763e-02,6.179246306419372559e-01
5.769095420837402344e-01,6.147981435060501099e-02,5.154297351837158203e-01
4.713427722454071045e-01,5.768234282732009888e-02,4.136604666709899902e-01
3.769156634807586670e-01,5.878513306379318237e-02,3.181304931640625000e-01
2.915184199810028076e-01,6.129492074251174927e-02,2.302234470844268799e-01
2.136929184198379517e-01,6.153443455696105957e-02,1.521584987640380859e-01
1.395273208618164062e-01,5.129065364599227905e-02,8.823668211698532104e-02
8.256542682647705078e-02,4.143593832850456238e-02,4.112948477268218994e-02
4.956863820552825928e-02,3.717914223670959473e-02,1.238949690014123917e-02
3.857610002160072327e-02,3.582593426108360291e-02,2.750174142420291901e-03
4.642280936241149902e-02,3.406508266925811768e-02,1.235772576183080673e-02
7.610625028610229492e-02,3.505394235253334045e-02,4.105230793356895447e-02
1.265226155519485474e-01,3.810105845332145691e-02,8.842156827449798584e-02
1.866570711135864258e-01,3.333795443177223206e-02,1.533191204071044922e-01
2.640956342220306396e-01,3.034863248467445374e-02,2.337470054626464844e-01
3.589746654033660889e-01,3.172982111573219299e-02,3.272448480129241943e-01
4.617554545402526855e-01,3.067763336002826691e-02,4.310777485370635986e-01
5.703866481781005859e-01,2.844290621578693390e-02,5.419437289237976074e-01
6.841100454330444336e-01,2.837455645203590393e-02,6.557354331016540527e-01
7.981266975402832031e-01,3.034397773444652557e-02,7.677827477455139160e-01
9.074148535728454590e-01,3.392532095313072205e-02,8.734894990921020508e-01
1.010027766227722168e+00,4.078818485140800476e-02,9.692396521568298340e-01
1.104249000549316406e+00,5.040668696165084839e-02,1.053842425346374512e+00
1.183039188385009766e+00,5.441644787788391113e-02,1.128622889518737793e+00
1.246646881103515625e+00,5.567714571952819824e-02,1.190969586372375488e+00
1.296872973442077637e+00,6.343642622232437134e-02,1.233436584472656250e+00
1.326107859611511230e+00,7.499111443758010864e-02,1.251116633415222168e+00
1.341053009033203125e+00,9.502917528152465820e-02,1.246023774147033691e+00
1.347870945930480957e+00,1.187591701745986938e-01,1.229111790657043457e+00
